CountyID,County,StateID,State
037,Los Angeles ,06, California
031,Cook ,17, Illinois
201,Harris ,48, Texas
013,Maricopa ,04, Arizona
073,San Diego ,06, California
059,Orange ,06, California
086,Miami-Dade ,12, Florida
047,Kings ,36, New York
113,Dallas ,48, Texas
065,Riverside ,06, California
081,Queens ,36, New York
071,San Bernardino ,06, California
033,King ,53, Washington
003,Clark ,32, Nevada
439,Tarrant ,48, Texas
085,Santa Clara ,06, California
029,Bexar ,48, Texas
011,Broward ,12, Florida
163,Wayne ,26, Michigan
061,New York ,36, New York
001,Alameda ,06, California
017,Middlesex ,25, Massachusetts
101,Philadelphia ,42, Pennsylvania
103,Suffolk ,36, New York
067,Sacramento ,06, California
005,Bronx ,36, New York
099,Palm Beach ,12, Florida
059,Nassau ,36, New York
057,Hillsborough ,12, Florida
095,Orange ,12, Florida
035,Cuyahoga ,39, Ohio
049,Franklin ,39, Ohio
125,Oakland ,26, Michigan
003,Allegheny ,42, Pennsylvania
053,Hennepin ,27, Minnesota
453,Travis ,48, Texas
059,Fairfax ,51, Virginia
013,Contra Costa ,06, California
035,Salt Lake ,49, Utah
031,Montgomery ,24, Maryland
119,Mecklenburg ,37, North Carolina
183,Wake ,37, North Carolina
121,Fulton ,13, Georgia
019,Pima ,04, Arizona
189,St. Louis ,29, Missouri
003,Honolulu ,15, Hawaii
119,Westchester ,36, New York
019,Fresno ,06, California
079,Milwaukee ,55, Wisconsin
103,Pinellas ,12, Florida
001,Fairfield ,09, Connecticut
097,Marion ,18, Indiana
003,Bergen ,34, New Jersey
157,Shelby ,47, Tennessee
043,DuPage ,17, Illinois
029,Erie ,36, New York
085,Collin ,48, Texas
031,Duval ,12, Florida
033,Prince George's ,24, Maryland
003,Hartford ,09, Connecticut
135,Gwinnett ,13, Georgia
029,Kern ,06, California
075,San Francisco ,06, California
099,Macomb ,26, Michigan
009,New Haven ,09, Connecticut
111,Ventura ,06, California
053,Pierce ,53, Washington
215,Hidalgo ,48, Texas
023,Middlesex ,34, New Jersey
141,El Paso ,48, Texas
005,Baltimore ,24, Maryland
091,Montgomery ,42, Pennsylvania
027,Worcester ,25, Massachusetts
061,Hamilton ,39, Ohio
013,Essex ,34, New Jersey
051,Multnomah ,41, Oregon
121,Denton ,48, Texas
025,Suffolk ,25, Massachusetts
009,Essex ,25, Massachusetts
109,Oklahoma ,40, Oklahoma
061,Snohomish ,53, Washington
111,Jefferson ,21, Kentucky
081,San Mateo ,06, California
055,Monroe ,36, New York
067,Cobb ,13, Georgia
089,DeKalb ,13, Georgia
077,San Joaquin ,06, California
157,Fort Bend ,48, Texas
097,Lake ,17, Illinois
071,Lee ,12, Florida
021,Norfolk ,25, Massachusetts
095,Jackson ,29, Missouri
197,Will ,17, Illinois
017,Hudson ,34, New Jersey
031,Denver ,08, Colorado
037,Davidson ,47, Tennessee
001,Bernalillo ,35, New Mexico
041,El Paso ,08, Colorado
001,District of Columbia,11, District of Columbia
073,Jefferson ,01, Alabama
